INSERT INTO Products (Name, Description, Price, StockQuantity, Category_id, Image_url, Is_Deleted, Created_at, Updated_at) VALUES
('EQ Pants Baby Diaper L 24s', 'Comfortable baby diaper pants, size L, for babies with 24 pieces per pack.', 255.5, 0, 1, 'images/products/baby_care/EQ-Pants-Baby-Diaper-L-24s.png', 0, '2024-10-06 12:28:00', '2024-10-06 12:28:00'),
('EQ Pants Baby Diaper M 24s', 'Soft and absorbent baby diaper pants, size M, containing 24 pieces per pack.', 206.2, 0, 1, 'images/products/baby_care/EQ-Pants-Baby-Diaper-M-24s.png', 0, '2024-10-06 12:28:00', '2024-10-06 12:28:00'),
('EQ Pants Baby Diaper Mega Pack XL 66s', 'Large pack of baby diaper pants, size XL, perfect for longer use with 66 pieces.', 580.6, 0, 1, 'images/products/baby_care/EQ-PANTS-BABY-DIAPER-MEGA-PACK-XL-66S.png', 0, '2024-10-06 12:28:00', '2024-10-06 12:28:00'),
('EQ Pants Baby Diaper XXL 24s', 'Extra-large size baby diaper pants with 24 pieces per pack, designed for comfort and dryness.', 237, 0, 1, 'images/products/baby_care/EQ-Pants-Baby-Diaper-XXL-24s.png', 0, '2024-10-06 12:28:00', '2024-10-06 12:28:00'),
('Happy Diaper Pants L 24s', 'Happy brand baby diaper pants, size L, for active babies, comes with 24 pieces per pack.', 222,  0, 1, 'images/products/baby_care/Happy-Diaper-Pants-L-24s.png', 0, '2024-10-06 12:28:00', '2024-10-06 12:28:00'),
('Happy Diaper Pants M 12s', 'Smaller pack of Happy baby diaper pants, size M, with 12 pieces for quick changes.', 180,  0, 1, 'images/products/baby_care/Happy-Diaper-Pants-M-12s.png', 0, '2024-10-06 12:28:00', '2024-10-06 12:28:00'),
('Happy Diaper Pants XL 12s', 'Happy baby diaper pants, size XL, 12 pieces for bigger babies needing extra comfort.', 225.73,  0, 1, 'images/products/baby_care/Happy-Diaper-Pants-XL-12s.png', 0, '2024-10-06 12:28:00', '2024-10-06 12:28:00'),
('Happy Diaper Pants XXL 24s', 'Extra-large Happy diaper pants for bigger babies, with 24 pieces for extended usage.', 255.5,  0, 1, 'images/products/baby_care/Happy-Diaper-Pants-XXL-24s.png', 0, '2024-10-06 12:28:00', '2024-10-06 12:28:00'),
('Pampers Baby Wipes with Aloe 72s', 'Gentle baby wipes with aloe, perfect for sensitive skin, comes in a pack of 72 wipes.', 140.55,  0, 1, 'images/products/baby_care/Pampers-Baby-Wipes-with-Aloe-72s.png', 0, '2024-10-06 12:28:00', '2024-10-06 12:28:00'),
('Johnsons Baby Lotion 500ml', 'Moisturizing Johnsons baby lotion, keeps your baby''s skin soft and smooth, 500ml bottle.', 333.87,  0, 1, 'images/products/baby_care/Johnsons-Baby-Lotion-500ml.png', 0, '2024-10-06 12:28:00', '2024-10-06 12:28:00'),
('Johnsons Baby Shampoo 750ml', 'Johnsons baby shampoo, 750ml bottle, gentle formula for soft and healthy baby hair.', 379,  0, 1, 'images/products/baby_care/Johnsons-Baby-Shampoo-750ml.png', 0, '2024-10-06 12:28:00', '2024-10-06 12:28:00'),
('Beng-Beng Chocolate Wafer 26.5g 1s', 'Chocolate-covered rice crispies.', 10, 0, 2, 'images/products/snacks/Beng-beng.png', 0, '2024-10-06 17:15:00', '2024-10-06 17:15:00'),
('Kopiko Black Twin 50g 1s', 'An instant 3-in-1 coffee with a darker and stronger taste.', 15, 0, 3, 'images/products/beverages/Kopiko-Black-Twin.png', 0, '2024-10-06 19:14:00', '2024-10-06 19:14:00'),
('Kopiko Blanca 3in1 Single 30g 1s', 'White coffee candy.', 10, 0, 3, 'images/products/beverages/Kopiko-Blanca-Single.png', 0, '2024-10-06 19:14:00', '2024-10-06 19:14:00'),
('Kopiko Blanca Twin 50g 1s', 'White coffee candy twin pack.', 15, 0, 3, 'images/products/beverages/Kopiko-Blanca-Twin.png', 0, '2024-10-06 19:14:00', '2024-10-06 19:14:00'),
('Kopiko Brown 3in1 Single 30g 1s', 'Brown coffee candy.', 10, 0, 3, 'images/products/beverages/Kopiko-Brown-Single.png', 0, '2024-10-06 19:14:00', '2024-10-06 19:14:00'),
('Kopiko Brown Twin 50g 1s', 'Brown coffee candy twin pack.', 15, 0, 3, 'images/products/beverages/Kopiko-Brown-Twin.png', 0, '2024-10-06 19:14:00', '2024-10-06 19:14:00'),
('Milo Powdered Choco 24g 1s', 'Chocolate malt drink.', 10, 0, 3, 'images/products/beverages/Milo-Single.png', 0,'2024-10-06 19:14:00',  '2024-10-06 19:14:00'),
('Nescafe CreamyLatte Single 25.5g 1s', 'Single serve latte.', 10, 0, 3, 'images/products/beverages/Nescafe-Latte-Single.png', 0, '2024-10-06 19:14:00', '2024-10-06 19:14:00'),
('Nescafe CreamyLatte Twin Pack 51g 1s', 'Twin serve latte.', 15, 0, 3, 'images/products/beverages/Nescafe-Latte-Twin.png', 0, '2024-10-06 19:14:00', '2024-10-06 19:14:00'),
('Nescafe Original Single 25.5g 1s', 'Classic coffee.', 10, 0, 3, 'images/products/beverages/Nescafe-Original-Single.png', 0, '2024-10-06 19:14:00', '2024-10-06 19:14:00'),
('Nescafe Original Twin Pack 51g 1s', 'Twin serve classic coffee.', 15, 0, 3, 'images/products/beverages/Nescafe-Original-Twin.png', 0, '2024-10-06 19:14:00', '2024-10-06 19:14:00'),
('Nescafe CreamyWhite Single 25.5g 1s', 'White coffee variant.', 10, 0, 3, 'images/products/beverages/Nescafe-White-Single.png', 0, '2024-10-06 19:14:00', '2024-10-06 19:14:00'),
('Nescafe CreamyWhite Twin Pack 51g 1s', 'Twin serve white coffee.', 15, 0, 3, 'images/products/beverages/Nescafe-White-Twin.png', 0, '2024-10-06 19:14:00', '2024-10-06 19:14:00'),
('Tang Pineapple Juice 19g 1s', 'Fruit-flavored drink mix.', 22, 0, 3, 'images/products/beverages/Tang-Pineapple.png', 0, '2024-10-06 19:14:00', '2024-10-06 19:14:00'),
('Tang Orange Juice 19g 1s', 'Fruit-flavored drink mix.', 22, 0, 3, 'images/products/beverages/Tang-Orange.png', 0, '2024-10-06 19:14:00', '2024-10-06 19:14:00'),
('Zest-O Juice Drink Orange 200ml', 'Orange Juice.', 12, 0, 3, 'images/products/beverages/Zesto-Orange.png', 0, '2024-10-06 19:14:00', '2024-10-06 19:14:00'),
('Yakult 65ml 1s', 'Probiotic drink.', 13, 0, 3, 'images/products/beverages/Yakult.png', 0, '2024-10-06 19:14:00', '2024-10-06 19:14:00'),
('Red Horse 1L Bottle', 'Strong beer.', 125, 0, 4, 'images/products/alcoholic_beverages/Red-Horse-Litro.png', 0,  '2024-10-06 22:02:00', '2024-10-06 22:02:00'),
('San Miguel 1L Bottle', 'Popular beer.', 125, 0, 4, 'images/products/alcoholic_beverages/San-Miguel-Litro.png', 0, '2024-10-06 22:02:00', '2024-10-06 22:02:00'),
('Tanduay Dark Rhum 5 Years 750ml', 'Rum in long neck bottle.', 145, 0, 4, 'images/products/alcoholic_beverages/Tanduay-Long-Neck.png', 0, '2024-10-06 22:02:00', '2024-10-06 22:02:00'),
('Tanduay Select 700ml', 'Premium rum.', 135, 0, 4, 'images/products/alcoholic_beverages/Tanduay-Select.png', 0, '2024-10-06 22:02:00', '2024-10-06 22:02:00'),
('Tanduay Rhum 5 Years 375ml', 'Classic rum.', 75, 0, 4, 'images/products/alcoholic_beverages/Tanduay-Senior-375ml.png', 0, '2024-10-06 22:02:00', '2024-10-06 22:02:00'),
('Bioderm Blue', 'Moisturizing lotion.', 20, 0, 5, 'images/products/personal_care/Bioderm-Blue.png', 0, '2024-10-06 23:27:00', '2024-10-06 23:27:00'),
('Colgate Original', 'Toothpaste for fresh breath.', 12, 0, 5, 'images/products/personal_care/Colgate-Original.png', 0, '2024-10-06 23:27:00', '2024-10-06 23:27:00'),
('Cream Silk Pink', 'Conditioner for smooth hair.', 9, 0, 5, 'images/products/personal_care/Cream-Silk-Pink.png', 0, '2024-10-06 23:27:00', '2024-10-06 23:27:00'),
('Deoplus Tawas', 'Natural deodorant.', 15, 0, 5, 'images/products/personal_care/Deoplus-Tawas.png', 0, '2024-10-06 23:27:00', '2024-10-06 23:27:00'),
('Dove Shampoo', 'Shampoo for all hair types.', 8, 0, 5, 'images/products/personal_care/Dove-Shampoo.png', 0, '2024-10-06 23:27:00', '2024-10-06 23:27:00'),
('Head & Shoulders Green', 'Anti-dandruff shampoo.', 8, 0, 5, 'images/products/personal_care/Head&Shoulders-Green.png', 0, '2024-10-06 23:27:00', '2024-10-06 23:27:00'),
('Keratin Black', 'Hair treatment.', 10, 0, 5, 'images/products/personal_care/Keratin-Black.png', 0, '2024-10-06 23:27:00', '2024-10-06 23:27:00'),
('Keratin Gold', 'Luxury hair treatment.', 10, 0, 5, 'images/products/personal_care/Keratin-Gold.png', 0, '2024-10-06 23:27:00', '2024-10-06 23:27:00'),
('Palmolive Green', 'Liquid soap for daily use.', 8, 0, 5, 'images/products/personal_care/Palmolive-Green.png', 0, '2024-10-06 23:27:00', '2024-10-06 23:27:00'),
('Silka Papaya', 'Whitening soap.', 23, 0, 5, 'images/products/personal_care/Silka-Papaya.png', 0, '2024-10-06 23:27:00', '2024-10-06 23:27:00'),
('Ariel Powder Twin', 'Laundry detergent.', 17, 0, 6, 'images/products/laundry_home_care/Ariel-Powder-Twin.png', 0, '2024-10-07 00:14:00', '2024-10-06 23:14:00'),
('Calla Bar Floral Fresh', 'Laundry soap bar.', 9, 0, 6, 'images/products/laundry_home_care/Calla-Bar-FloralFresh.png', 0, '2024-10-06 23:14:00', '2024-10-06 23:14:00'),
('Calla Powder Floral Fresh', 'Laundry powder.', 9, 0, 6, 'images/products/laundry_home_care/Calla-Powder-FloralFresh.png', 0, '2024-10-06 23:14:00', '2024-10-06 23:14:00'),
('Champion Bar SupraClean', 'Laundry soap for tough stains.', 9, 0, 6, 'images/products/laundry_home_care/Champion-Bar-SupraClean.png', 0, '2024-10-06 23:14:00', '2024-10-06 23:14:00'),
('Downy Antibac', 'Fabric conditioner.', 10, 0, 6, 'images/products/laundry_home_care/Downy-Antibac.png', 0, '2024-10-06 23:14:00', '2024-10-06 23:14:00'),
('Downy Garden Bloom', 'Fabric softener.', 8, 0, 6, 'images/products/laundry_home_care/Downy-Garden-Bloom.png', 0, '2024-10-06 23:14:00', '2024-10-06 23:14:00'),
('Pride Bar Power Blue', 'Laundry soap bar.', 9, 0, 6, 'images/products/laundry_home_care/Pride-Bar-PowerBlue.png', 0, '2024-10-06 23:14:00', '2024-10-06 23:14:00'),
('Surf Bar Cherry Blossom', 'Laundry soap bar.', 9, 0, 6, 'images/products/laundry_home_care/Surf-Bar-CherryBlossom.png', 0, '2024-10-06 23:14:00', '2024-10-06 23:14:00'),
('Surf Bar Sun Fresh', 'Laundry soap for fresh scent.', 9, 0, 6, 'images/products/laundry_home_care/Surf-Bar-SunFresh.png', 0, '2024-10-06 23:14:00', '2024-10-06 23:14:00'),
('Surf Cherry Blossom', 'Laundry detergent powder.', 9, 0, 6, 'images/products/laundry_home_care/Surf-Red.png', 0, '2024-10-06 23:14:00', '2024-10-06 23:14:00'),
('Wings Powder', 'Laundry powder.', 17, 0, 6, 'images/products/laundry_home_care/Wings-Powder.png', 0, '2024-10-06 23:14:00', '2024-10-06 23:14:00'),
('Tide Powder Twin', 'Laundry detergent.', 17, 0, 6, 'images/products/laundry_home_care/Tide-Powder-Twin.png', 0, '2024-10-06 23:14:00', '2024-10-06 23:14:00'),
('Pedigree Dentastix 56g', 'Dental chews for dogs.', 158, 0, 7, 'images/products/pet_care/Pedigree-Dentastix-56g.png', 0, '2024-10-06 03:33:00', '2024-10-06 03:33:00'),
('Pedigree Home Style Chicken 400g', 'Dog food in chicken flavor.', 122.5, 0, 7, 'images/products/pet_care/Pedigree-Home-Style-Chicken-400g.png', 0, '2024-10-06 03:33:00', '2024-10-06 03:33:00'),
('Pedigree Tasty Bites 130g', 'Treats for dogs.', 161.87, 0, 7, 'images/products/pet_care/Pedigree-Tasty-Bites-130g.png', 0, '2024-10-06 03:33:00', '2024-10-06 03:33:00'),
('Purina Fancy Feast 85g', 'Cat food in gourmet flavors.', 49.75, 0, 7, 'images/products/pet_care/Purina-Fancy-Feast-85g.png', 0, '2024-10-06 03:33:00', '2024-10-06 03:33:00'),
('Whiskas Tasty Mix 70g', 'Cat treats.', 32.25, 0, 7, 'images/products/pet_care/Whiskas-Tasty-Mix-70g.png', 0, '2024-10-06 03:33:00', '2024-10-06 03:33:00'),
('555 Sardines', 'Tasty sardines packed in oil.', 27, 0, 8, 'images/products/canned_goods/555-Sardines.png', 0, '2024-10-06 08:53:00', '2024-10-06 08:53:00'),
('555 Sardines Red', 'Spicy sardines in tomato sauce.', 27, 0, 8, 'images/products/canned_goods/555-Sardines-Red.png', 0, '2024-10-06 08:53:00', '2024-10-06 08:53:00'),
('Argentina Corned Beef 150g', 'Delicious corned beef.', 38, 0, 8, 'images/products/canned_goods/Argentina-Corned-Beef-150g.png', 0, '2024-10-06 08:53:00', '2024-10-06 08:53:00'),
('Century Tuna Calamansi 155g', 'Tuna in calamansi flavor.', 40, 0, 8, 'images/products/canned_goods/Century-Tuna-Calamansi-155g.png', 0, '2024-10-06 08:53:00', '2024-10-06 08:53:00'),
('Century Tuna Flakes 155g', 'Flaked tuna in oil.', 40, 0, 8, 'images/products/canned_goods/Century-Tuna-Flakes-155g.png', 0, '2024-10-06 08:53:00', '2024-10-06 08:53:00'),
('Family Sardines Green', 'Sardines in green chili.', 27, 0, 8, 'images/products/canned_goods/Family-Sardines-Green.png', 0, '2024-10-06 08:53:00', '2024-10-06 08:53:00'),
('Family Sardines Red', 'Sardines in spicy sauce.', 27, 0, 8, 'images/products/canned_goods/Family-Sardines-Red.png', 0, '2024-10-06 08:53:00', '2024-10-06 08:53:00'),
('Fresca Tuna Adobo 175g', 'Tuna in adobo sauce.', 35, 0, 8, 'images/products/canned_goods/Fresca-Tuna-Adobo-175g.png', 0, '2024-10-06 08:53:00', '2024-10-06 08:53:00'),
('Fresca Tuna Afritada 175g', 'Tuna in afritada sauce.', 35, 0, 8, 'images/products/canned_goods/Fresca-Tuna-Afritada-175g.png', 0, '2024-10-06 08:53:00', '2024-10-06 08:53:00'),
('Fresca Tuna Caldereta 175g', 'Tuna in caldereta sauce.', 35, 0, 8, 'images/products/canned_goods/Fresca-Tuna-Caldereta-175g.png', 0, '2024-10-06 08:53:00', '2024-10-06 08:53:00'),
('Holiday Beef Loaf 150g', 'Savory beef loaf.', 25, 0, 8, 'images/products/canned_goods/Holiday-Beef-Loaf-150g.png', 0, '2024-10-06 08:53:00', '2024-10-06 08:53:00'),
('Holiday Carne Norte 150g', 'Delicious carne norte.', 34, 0, 8, 'images/products/canned_goods/Holiday-Carne-Norte-150g.png', 0, '2024-10-06 08:53:00', '2024-10-06 08:53:00'),
('Holiday Corned Beef 160g', 'Classic corned beef.', 42, 0, 8, 'images/products/canned_goods/Holiday-Corned-Beef-160g.png', 0, '2024-10-06 08:53:00', '2024-10-06 08:53:00'),
('Mega Sardines Green', 'Green chili sardines.', 27, 0, 8, 'images/products/canned_goods/Mega-Sardines-Green.png', 0, '2024-10-06 08:53:00', '2024-10-06 08:53:00'),
('Mega Sardines Red', 'Red chili sardines.', 27, 0, 8, 'images/products/canned_goods/Mega-Sardines-Red.png', 0, '2024-10-06 08:53:00', '2024-10-06 08:53:00'),
('San Marino Tuna 150g', 'Tuna packed in oil.', 40, 0, 8, 'images/products/canned_goods/San-Marino-Tuna-150g.png', 0, '2024-10-06 08:53:00', '2024-10-06 08:53:00'),
('San Marino Tuna Chili 150g', 'Tuna in chili oil.', 40, 0, 8, 'images/products/canned_goods/San-Marino-Tuna-Chili-150g.png', 0, '2024-10-06 08:53:00', '2024-10-06 08:53:00'),
('Banana 500g', 'Fresh bananas.', 49.75,  0, 9, 'images/products/fruits/Banana-500g.png', 0, '2024-10-06 11:05:00', '2024-10-06 11:05:00'),
('Banana Saba 500g', 'Saba bananas for cooking.', 34.75,  0,  9, 'images/products/fruits/Banana-Saba-500g.png', 0, '2024-10-06 11:05:00', '2024-10-06 11:05:00'),
('Fuji Apple', 'Crisp and sweet apple.', 52.5,  0,  9, 'images/products/fruits/Fuji-Apple.png', 0, '2024-10-06 11:05:00', '2024-10-06 11:05:00'),
('Kiwi', 'Sweet and tangy kiwi fruit.', 85,  0,  9, 'images/products/fruits/Kiwi.png', 0, '2024-10-06 11:05:00', '2024-10-06 11:05:00'),
('Mango', 'Juicy ripe mango.', 75, 0,  9, 'images/products/fruits/Mango.png', 0, '2024-10-06 11:05:00', '2024-10-06 11:05:00'),
('Orange', 'Fresh oranges.', 101,  0,  9, 'images/products/fruits/Orange-500g.png', 0, '2024-10-06 11:05:00', '2024-10-06 11:05:00'),
('Papaya 750g', 'Ripe papaya.', 90.75,  0,  9, 'images/products/fruits/Papaya-750g.png', 0, '2024-10-06 11:05:00', '2024-10-06 11:05:00'),
('Pears 500g', 'Fresh Pears.', 111,  0,  9, 'images/products/fruits/Pears-500g.png', 0, '2024-10-06 11:05:00', '2024-10-06 11:05:00'),
('Pineapple Medium', 'Sweet and juicy pineapple.', 131.25,  0,  9, 'images/products/fruits/Pineapple-Medium.png', 0, '2024-10-06 11:05:00', '2024-10-06 11:05:00'),
('Watermelon Champion 1.5kg-3kg', 'Fresh watermelon.', 303,  0,  9, 'images/products/fruits/Watermelon-Champion-1.5kg-3kg.png', 0, '2024-10-06 11:05:00', '2024-10-06 11:05:00'),
('Ampalaya 500g', 'Bitter melon, a nutritious vegetable.', 121,  0, 10, 'images/products/vegetables/Ampalaya.png', 0, '2024-10-06 23:33:00', '2024-10-06 23:33:00'),
('Cabbage 500g', 'Fresh cabbage, perfect for salads and dishes.', 80.75,  0, 10, 'images/products/vegetables/Cabbage.png', 0, '2024-10-06 17:33:00', '2024-10-06 17:33:00'),
('Carrots 500g', 'Crunchy carrots, great for snacking and cooking.', 126.2,  0, 10, 'images/products/vegetables/Carrots.png', 0, '2024-10-06 17:33:00', '2024-10-06 17:33:00'),
('Cucumber 500g', 'Fresh cucumbers, refreshing and crisp.', 78.25,  0, 10, 'images/products/vegetables/Cucumber.png', 0, '2024-10-06 17:33:00', '2024-10-06 17:33:00'),
('Eggplant 500g', 'Purple eggplant, ideal for grilling and frying.', 106,  0, 10, 'images/products/vegetables/Eggplant.png', 0, '2024-10-06 17:33:00', '2024-10-06 17:33:00'),
('Fresh Kangkong 500g', 'Fresh water spinach, great for soups.', 20.25,  0, 10, 'images/products/vegetables/Fresh-Kangkong.png', 0, '2024-10-06 17:33:00', '2024-10-06 17:33:00'),
('Fresh Native Tomato 250g', 'Juicy native tomatoes, perfect for salads.', 30.25,  0, 10, 'images/products/vegetables/Fresh-Native-Tomato-250g.png', 0, '2024-10-06 17:33:00', '2024-10-06 17:33:00'),
('Garlic 250g', 'Fresh garlic, essential for cooking.', 45.25,  0,10, 'images/products/vegetables/Garlic.png', 0, '2024-10-06 17:33:00', '2024-10-06 17:33:00'),
('Ginger 250g', 'Fresh ginger root, great for flavoring dishes.', 63,  0,10, 'images/products/vegetables/Ginger.png', 0, '2024-10-06 17:33:00', '2024-10-06 17:33:00'),
('Kalabasa 250g', 'Squash, perfect for soups and stews.', 16.5,  0, 10, 'images/products/vegetables/Kalabasa.png', 0, '2024-10-06 17:33:00', '2024-10-06 17:33:00'),
('Onion 250g', 'Fresh onions, essential for many recipes.', 39,  0, 10, 'images/products/vegetables/Onion.png', 0, '2024-10-06 17:33:00', '2024-10-06 17:33:00'),
('Potato 500g', 'Versatile potatoes, great for baking and frying.', 101,  0, 10, 'images/products/vegetables/Potato.png', 0, '2024-10-06 17:33:00', '2024-10-06 17:33:00'),
('Sitaw 250g', 'String beans, great for stir-frying.', 50,  0, 10, 'images/products/vegetables/Sitaw.png', 0, '2024-10-06 17:33:00', '2024-10-06 17:33:00'),
('Alaska Evaporada Evaporated Creamer 140ml', 'Evaporated creamer.', 22,  0, 11, 'images/products/dairy/Alaska-Evaporada-Evaporated-Creamer-140ml.png', 0, '2024-10-06 17:31:00', '2024-10-06 17:31:00'),
('Cow Bell Condensarap Sweetener Condensed Creamer 374g', 'Sweetened condensed milk.', 42,  0, 11, 'images/products/dairy/Cow-Bell-Condensarap-Sweetener-Condensed-Creamer-374g.png', 0, '2024-10-06 17:31:00', '2024-10-06 17:31:00'),
('Eden Cheese 160g', 'Delicious cheese.', 56.75,  0, 11, 'images/products/dairy/Eden-Cheese-160g.png', 0, '2024-10-06 17:31:00', '2024-10-06 17:31:00'),
('Egg Large 10 Per Piece', 'Fresh eggs.', 10,  0, 11, 'images/products/dairy/Egg-Large-10-Per-Piece.png', 0, '2024-10-06 17:31:00', '2024-10-06 17:31:00'),
('Magnolia Butterlicious Unsalted 200g', 'Butter for baking.', 91,  0, 11, 'images/products/dairy/Magnolia-Butterlicious-Unsalted-200g.png', 0, '2024-10-06 17:31:00', '2024-10-06 17:31:00'),
('Nestle All Purpose Cream 250ml', 'Cream for cooking and baking.', 71.5,  0, 11, 'images/products/dairy/Nestle-All-Purpose-Cream-250ml.png', 0, '2024-10-06 17:31:00', '2024-10-06 17:31:00'),
